,FM1102,$97,,,
,FM1103,$97,,,
,FM1104,$97,,,
,FM1201,$89,,,
,FM1202,$89,,,
,FM1203,$89,,,
,FM1204,$89,,,
,FM1301,$72,,,
,FM1302,$72,,,
,FM1401,$88,,,
,FM1402,$88,,,
,FM1403,$88,,,
,FM1404,$88,,,
,FM1405,$88,,,
,FM1501,$88,,,
,FM1502,$88,,,
,FM1503,$88,,,
,FM1504,$88,,,
,FM1601,$86,,,
,FM1602,$86,,,
,FM1603,$86,,,
,FM1604,$86,,,
,FM1701,$96,,,
,FM1702,$96,,,
,FM1703,$96,,,
,FM1704,$96,,,
,FM1705,$96,,,
,FM1801,$81,,,
,FM1802,$81,,,
,FM1803,$81,,,
,FM1804,$81,,,
,FM1805,$81,,,
,FM1806,$81,,,
,FM1901,$86,,,
,FM1902,$86,,,
,FM1903,$86,,,
,FM1904,$86,,,
,FM1905,$86,,,
,FM2001,$91,,,
,FM2002,$91,,,
,FM2003,$91,,,
,FM2004,$91,,,
,FM2005,$91,,,
,FM2101,$84,,,
,FM2102,$84,,,
,FM2103,$84,,,
,FM2104,$84,,,
,FM2105,$84,,,
,FM2106,$84,,,
,FM2107,$84,,,
